PC_Beijing_Time,Time (us),Address,RSSI (dBm),Raw Data,adv_data_len,scan_rsp_len,Connectable,Addr Type,Adv Event Type
2026-05-03 05:45:15.560,3037545137,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:17.571,3039554195,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:19.585,3041565057,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:21.591,3043573146,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:25.673,3047591568,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:27.601,3049576378,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:29.609,3051583356,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:31.620,3053594465,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:33.620,3055596066,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:35.780,3057598986,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:37.613,3059605043,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:39.637,3061618104,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:41.626,3063610799,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:43.653,3065626514,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:45.671,3067624339,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:49.653,3071626945,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:51.703,3073656238,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:53.755,3075644480,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:55.689,3077646683,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:45:57.673,3079665773,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:01.680,3083664645,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:03.690,3085673862,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:05.867,3087672414,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:07.737,3089707148,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:09.719,3091691991,fd:46:4d:a5:79:17,-25,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:11.721,3093695998,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:13.721,3095710350,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:15.721,3097700589,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:17.721,3099702958,fd:46:4d:a5:79:17,-24,0x1AFF4C0012022A02071106B951B8E079DC9A1FA24B5B4D550BC5A3,27,0,0,1,0
2026-05-03 05:46:19.137,3101119804,db:c9:83:9f:37:a3,-25,0x1EFF4C0012192AFC26BA04F3A80F17A04226EEA1762BA3E0AC94E9CB4D0017,31,0,0,1,0
2026-05-03 05:46:21.170,3103144765,db:c9:83:9f:37:a3,-24,0x1EFF4C0012192AFC26BA04F3A80F17A04226EEA1762BA3E0AC94E9CB4D0017,31,0,0,1,0
2026-05-03 05:46:23.312,3105151085,db:c9:83:9f:37:a3,-24,0x1EFF4C0012192AFC26BA04F3A80F17A04226EEA1762BA3E0AC94E9CB4D0017,31,0,0,1,0
2026-05-03 05:46:25.160,3107133773,db:c9:83:9f:37:a3,-24,0x1EFF4C0012192AFC26BA04F3A80F17A04226EEA1762BA3E0AC94E9CB4D0017,31,0,0,1,0
